173	174	75,5	112,5	11,5	99	144	38
81	107	57,5	5,5	11,5	15,5	27	11,5
169	165	53,5	151	57,5	137,5	49,5	125,5
149,5	152	75,5	62	81	66	112,5	131
75,5	131	2,5	95	21,5	71	27	30
8,5	125,5	21,5	33,5	38	21,5	33,5	11,5
155,5	115	49,5	45	49,5	99	134	45
141	182	38	38	75,5	103	30	5,5
21,5	21,5	103	131	90,5	147	5,5	15,5
161	158	134	49,5	95	81	115	111
81	123	119,5	1	90,5	162,5	166,5	181
86	146	21,5	8,5	119,5	103	45	41,5
153	103	30	21,5	119,5	127,5	75,5	57,5
124	33,5	15,5	62	90,5	27	99	41,5
119,5	117	38	57,5	90,5	5,5	81	86
134	148	137,5	144	166,5	95	171	68,5
155,5	141	183	162,5	115	86	95	129
95	180	178	127,5	176	141	168	159
154	179	45	66	86	71	15,5	68,5
137,5	71	103	62	175	122	107	66
75,5	149,5	86	62	109,5	2,5	53,5	53,5
157	177	172	53,5	21,5	45	33,5	62
184	170	137,5	164	107	144	109,5	160
